userName,score,at,content
Irawan Dwi Syah Putra,1,2023-08-30 22:53:25,"Riweh ga kaya dulu, tampilan UInya lebih simpel yg dulu.. walaupun nambah banyak fungsi jga Bukan tambahin aja yg penting² malah ngerubah"
rizaldy jamil,5,2023-08-30 22:22:07,Berguna
dhika sakata,1,2023-08-30 21:33:38,Menuh2in memory cok
Bayu Aji,1,2023-08-30 20:17:17,Ruwet Lemot
edi pirman mt,1,2023-08-30 19:40:49,"Ini aplikasi tambah membingungkan, sertifikat vaksin nya tak bisa di lihat"
Muhammad harun Jafar sidiq,1,2023-08-30 18:35:49,Ga bisa save ajgggggggg
Muhammad Febriyanto Putra,1,2023-08-30 15:03:23,"Mau login susah, aplikasi mohon di benahi dengan benar agar masyarakat Indonesia mudah untuk mengakses nya, kalau aplikasi belum stabil jangan dirubah ubah malah tambah ribet"
Toni Harsono,1,2023-08-30 13:31:50,Aplikasi cebong
Iqmah Ramadani,1,2023-08-30 11:45:53,aplikasi busuk
Endin aneka buah Acank,5,2023-08-30 11:31:44,Baik
khoerul fikri,5,2023-08-30 10:09:47,Bagus sekali
Alanwari Vivo,1,2023-08-30 10:07:02,Ga bisa login arggghhhhhggghhhh
Chandra Stars,1,2023-08-30 09:28:49,"Rumornya cs nya wafat, pelayanan ga jelas. Puskesmas input data vaksin udah seminggu, tapi pihak satusehat TURU"
Alif Fudin,3,2023-08-30 09:20:24,Sertifikat vaksin dosis 3 tidak ada padahal udah hampir 2 bulan vaksin sampai sekarang belum keluar sertifikatnya
James Pp,5,2023-08-30 08:59:38,"mendapatkan Imformasi ,serta mengetahui alur proses kesehatan"
sabarno 62,1,2023-08-30 07:55:24,"Kode verifikasi udah bener tapi tetep ga bisa, payah"
Baby Doust,1,2023-08-30 07:30:42,"enakan peduli lindungi, satu sehat susah banget, bikin error gabisa liat sertifikat vaksin pdhl mau ngambil buat syarat kerja"
Nur Azizah,2,2023-08-30 07:08:41,"Kecewa banget si pas dibutuhin gak bisa bantu, padahal sudah ditunggu lama, buat perbarui data sertifikat ganda, sudah ditunggu lama, sekali gak masalah berkali - kali rasanya kecewa banget pengen nangis"
Kang Ilyas,1,2023-08-30 06:33:19,"Jelek, ga bisa masuk tanpa nomor hp yg hilang, padahal masuk dengan NIk itu lebih terpercaya,"
Rakha Gusti,5,2023-08-30 00:03:53,Berguna dan aplikasi berfungsi baik
Afiqah Inara,1,2023-08-29 20:01:06,"Setelah login mau download sertifikat vaksin,malah muncul sertifikat vaksin org lain ,,"
Ariya1994 Rizky,5,2023-08-29 19:50:41,Good
Nur hafifah,2,2023-08-29 18:46:17,Jelek banget astaghfirullah ga ngerti kenapa harus ganti peduli lindungi pake aplikasi bobrok begini
Anonim,1,2023-08-29 18:28:58,Jelek aplikasinya
marvel jr,1,2023-08-29 18:21:49,Aneh fc
rendang gurih,1,2023-08-29 17:38:19,"masa no hp sendiri dan email saya digunakan orang lain, bisa gitu ya. sudah lapor, ngasih ktp dan kk untuk dicek, lah malah belum terdaftar. akhir nya beli no. baru. KOK BISA GITU, DATA PRIBADI DIGUNAKAN ORANG LAIN"
Triyono Saputro,1,2023-08-29 17:35:21,"Ini gimana ya ko sertifikat vaksin saya jadi ngga ada,padahal sebelumnya pas masih peduli lindungi masih ada ko ini malah jadi ngga ada"
Ilham Hidayat,1,2023-08-29 16:57:58,Mau unduh sertifikat vaksin gabisa koplak gagal terus
Geryaldi 02,1,2023-08-29 09:18:44,Kenapa nomor nik tidak sesuai dengan namanya baru nik nya udah lengkap
alam Nur,5,2023-08-29 09:06:50,Baik
Pcx Abang,4,2023-08-29 08:18:46,Bagus terus pantau perkembangan teknologi informasi
rizka putri,5,2023-08-29 07:33:25,baik
Rohmanudin Oman,1,2023-08-29 07:32:30,aplikasi bikin orang emosi mau login / daftar aja susah udh 2 hari ga bisa masuk
NOVI jak am,1,2023-08-29 02:45:37,aplikasi murahan bukan memudahkan masyaralat mlah membuat org susah login bisa cuma data sertifikat ngk ada terdaftr sya sudh paksin k 2 eh mlh d aplikasi blm pernah vakcin rakyt mkin susah dibuat susah lagi.klw ngak ada niat memper mudh masyarak jangan sok soan buat aplikasi kt nya memper mudh eh malh memper sulit emang negara konoha ini serba ribet.kerja nya cuma mempersulit aja ngak guna aplikasi murahan
Yoga Prasetiyo,1,2023-08-28 20:26:44,Apk ga bagus
Agus Ds,1,2023-08-28 20:20:19,"Tolol, jelek bgt ini apk mau download sertifikat aja gagal memproses mulu"
mul Yadi,5,2023-08-28 20:14:13,Sangat membantu
Jaenuri Setiawan,1,2023-08-28 19:56:46,Diaplikasi vaksin masih 2 kali tapi di komputer sudah 3 kali. Tidak sesuai...
Andre Prasetya,1,2023-08-28 18:53:00,Kenapa ga bisa login pake email dan no telpon yak ? Perbaiki dong mana sya udh vaksin 2 di sni nya masih tertulis 1 lagi.
Yedi Suhendri,1,2023-08-28 18:16:06,"3 teratas tapi gabisa masukin pake EMAIL/TELEPON, pas DAFTAR NIK udh terpakai, ya jelas lah terpakai, dipakainya di aplikasi PEDULI LINDUNGI, harusnya kalo buat aplikasi, minimal diniatin, jngn cuman asal buat. Contoh, NIK yg udh ada dipeduli lindungi, pindahin ke aplikasi SATU SEHAT, lah ini ga sama sekali. Apk GAJELAS emng."
Jefri Adi,1,2023-08-28 18:07:45,Vaksin 3x tapi di apk gak terdaftar 🤣🤣🤣 apk yg bgus
Arif Hidayat,5,2023-08-28 16:06:56,Perbarui nya nambah ribettt
Yan ti,1,2023-08-28 15:13:38,Aplikasi ndak jelas ini.. bagusan yg pedulilindungi. Cek sertifikat vaksin ndak bisa. Aplikasi parah
Riko Inderson,1,2023-08-28 14:23:02,"Aplikasi bodoh, minta kode verifikasi ketika dimasukan minta kode yang tepat, padahal kode yang dikirim sudah tepat."
Ria olshop,5,2023-08-28 14:09:34,Sangat membatu dengan ada nya aplikasi ini
Josua Silitonga,1,2023-08-28 13:48:55,APLIKASI GAK GUNA LOGIN AJA PAYAH
Rositta Norma Dewi,1,2023-08-28 11:30:24,"Sertifikat vaksin susah sekali munculnya, tidak seperti peduli lindungi"
0169 Ridwan Agung,5,2023-08-28 11:03:16,"Baik untuk aplikasinya, dapat melihat informasi mengenai covid 19 dan dapat membantu melihat kartu vaksin lebih dari satu"
Muslikah Mlg,5,2023-08-28 10:38:28,Saya kasih 5 bitang
Kelinci Nakal,1,2023-08-28 09:16:13,Aplikasi makin ngga jelas
Reyhan WoP,1,2023-08-28 09:04:13,"Ribet ,mau ngecek sertifikat vaksin malah gabisaa !!!"
Noviyantini,1,2023-08-28 08:58:02,"Apaan sih kok gabisa login anjir, gimana sih aplikasinya ... Udh bgus peduli lindungi. Faklah"
troll gaming,1,2023-08-28 06:49:57,Apa ini sertifikat vaksin saya tdk ada pdhl di apk terdahulu ada lengkap dan mudah utk dcari tetapi setelah update makin ribet dan sertifikat saya hilang
Nizania Maerohmah,2,2023-08-28 04:57:12,Knp sekarang gk bisa menampilakan foto surat vaksin . Yg dimana itu perlu untuk kebutuhan tak terduga
Nindiya Intan Syafinaz,1,2023-08-27 22:58:07,Aplikasinya sekarang sulit dipahami
irapuspita sari,1,2023-08-27 20:29:21,"Ini gimana sih saya sudah vasin ke4 malah tanggal sertifikat nya sama dengan vasin ke 3 kan aneh bikin masalah aja kalau lagi butuh sertifikatnya malah salah mendingan peduli lindungi, gimana sih😡"
anissa nissa,5,2023-08-27 19:58:29,Mksih
Dany Hermawan,1,2023-08-27 17:43:30,Aplikasi rusak
Just For Fun (Sivan),2,2023-08-27 17:38:05,"Saya tidak bisa memasukkan kode yg dikirim lewat WA, padahal sudah benar angka yg saya masukkan"
Padilah Paqih,1,2023-08-27 17:08:48,"Tolong dong ini gimana sertifikat vaksin saya yang ketiga ga ada trus padahal saya sudah vaksin ke tiga tapi sudah satu bulan saya tunggu status saya masih di vaksin dua, tolong jika daa sudah vaksin segera di perbarui dampak nya besar kepada orang yang butuh sertifikat vaksin yang akurat tapi di pihak kesehatan nya saja acuh hanya mementingkan diri sendiri dan puskesmas nya"
La ode Wanto,1,2023-08-27 14:43:37,Kenapa kode Verifikasi tdk kunjung terkirin
Roni Irmansyani,5,2023-08-27 13:43:15,Cukup bagus dan rekomended
Lindha Kurniawati,1,2023-08-27 13:37:20,"aplikasi diperbaharui bukannya semakin mempermudah pengguna. saya sudah login pada aplikasi SatuSehat Mobile namun data pribadi saya yaitu NIK malah muncul NIK punya orang lainn dan sudah saya coba update tapi tidak bisa. saja menjadi ragu mengenai keamanan data"" sayaa, apakah data diri saya bener"" aman pada aplikasi ini jika hal seperti itu terjadi? mohon penjelasannya🙏🏻"
kapella Channel,1,2023-08-27 13:20:35,waktu mau cari sertifikat vaksin jadi gk ada semenjak di update ke versi terbaru! padahal syarat untuk ngisi lamaran pekerjaan harus ada sertifikat vaksin nya! kecewa saya setelah updater terbaru bukan nya mempermudah malah jadi mempersulit gini!
irfan naufal,1,2023-08-27 12:05:23,Msh blm bs login pdhl nomornya g ganti ini bnr2 butuh loh malah dipersulit
Nyong Jo,1,2023-08-27 11:11:42,Lebih bagus yg dulu dari pada sekarang
Thomas Febrian,1,2023-08-27 09:40:33,apk gajls
Hardiyanto Dokie,5,2023-08-27 06:23:35,Ok
Syafrinal Rinal,1,2023-08-27 04:42:12,Aplikasi yg sekarang ribet gak semuda aplikasi peduli lindungi yg dulu.
Afnan AL,1,2023-08-26 23:21:50,Mohon di perbaiki lai sistem otp jangan hanya whats app saja iya kalau nomernya ada whats app nya kalau tidak susah mau verifikasi!!
I MADE DWI OKTAVIAWAN PUTRA,1,2023-08-26 21:55:23,Gak bisa dibuka. Percuma download. Aduhhhh bak bagus..
Arjuna Ireng,1,2023-08-26 21:47:04,sangat buruk dan aneh
Yohannes Emmanuele,1,2023-08-26 20:16:02,APAANSI AJG RIBET BANGET
Ahmad Junaedi,1,2023-08-26 18:54:21,"Ilmu politik ini aplikasix Sya Sudah vaksin boxter Mohon maaf, otak anda melalui akal² cipta"
radenmaz_ mahmud,1,2023-08-26 18:30:34,Gak guna.. gak bisa di pake
Sleman Sembada,5,2023-08-26 18:24:43,Dengan patuh melakukan vaksin covid sekarang badan selalu sehat.
Fadly Mohammad,1,2023-08-26 15:39:51,App lolll Gk bisa masuk blas Nik terdaftarkah. Bla bla kah lolllllllll
Parampampam,1,2023-08-26 15:07:43,Kenapa aplikasi buatan pemerintah jelek jelek
Sumarjono,1,2023-08-26 14:18:35,kenapa ya data booster saya belum masuk padahal saya sudah mengikuti bossterbpertama pada bulan juni 2023 lalu.
Ayu Kirana,1,2023-08-26 12:53:44,"Awalnya bingung sama fiturnya, liat tutorial di YouTube langsung bisa liat dan unduh semua sertifikatnya"
FDS channel,1,2023-08-26 12:21:44,Sertifikat boster belum muncul di aplikasi.. lambat
Anggi Candra,1,2023-08-26 09:19:43,Jelek
Bapak Kembar,1,2023-08-26 08:46:14,"Sudah coba brpa kali daftar dan masuk tdk mau juga,tdk guna aplikasix drubah.mending peduli lindungi.sdh mudah masukx dan tdk ribet"
Rifky Ramdhani,1,2023-08-26 08:40:09,"masuk gabisa, daftar gabisa alasan nik sudah digunakan anehh"
Dhivya Chandramani,5,2023-08-26 02:25:52,Ralat udah bisa. Makasih🙏
Danu Wisnu Wardana,1,2023-08-25 23:59:12,"Ini gimana buat login aja susah, lebih bagusan pedulilindungi.."
Ningsih Nizam,1,2023-08-25 22:10:50,Kenapa skrg susah bngttt y..dlu apk peduli lindung gampang skrg susah bukan maen
Si anying,1,2023-08-25 22:02:35,"Login gabisa padahal no telp sudah benar, wa helpdesk lambat responnya"
FaiQ Munawar,1,2023-08-25 21:46:11,TOLONG KEMBALIKAN KE APLIKASI YANG DULU APAAN INI GAK GUNA RUSAK RUSAK...🤦🤦🤦
Komara Ardiansah (Marr),1,2023-08-25 21:46:01,Gjlas banget apk nya mau login lagi pake email ko ga bisa
M Agus Tri Asmoro,4,2023-08-25 21:24:37,Bagus tapi loadingnya berat kalau dibandingkan aplikasi peduli lindungi.
zan,1,2023-08-25 21:12:56,ga bisa masuk ke aplikasinya
Ripan Eka,1,2023-08-25 20:44:11,"Malah jadi ngga jelas nih apk ,jadi ribet gini,mana masukin nomer hp kode verivikasi ngga masuk masuk payah"
Fatih Abdulah,1,2023-08-25 20:40:38,Apk kek anjingg
Andrew Krisna,1,2023-08-25 20:28:54,Login aja susah ! Benerin lagi apk ny
dhar,1,2023-08-25 19:50:03,Masuk nya aja Ribet 😛
Rosi Nisa,1,2023-08-25 19:30:40,"Gimana sih apknya, dulu sebelum ganti satusehat nama sama nik udah bener lah sekarang ganti kok nik nya ikutan ganti milik orang lain, jangan ngawur deh bikin susah orang mau daftar kerja malah di bikin ribet cuma masalah vaksin nama sama nik ga cocok"
Micky Aja,1,2023-08-25 19:24:39,"Aplikasi nya dibuat sama org b3g0 ato gimana sih in ? Sudah d masukan kode verifikasi sesuai yg dikirim kok status ""tidak sesuai"" ini apk punya negara kok kek gini.. bisa ga ga di kasi bintang ?"
Ivn Setiawan,1,2023-08-25 18:58:48,Kenapa kode otpnya tidak terkirim padahal sudah di coba berkali kali
ARRAPEL JUNIOR,5,2023-08-25 18:14:38,Joss Gandos
Tumira Tumira,5,2023-08-25 18:08:16,Ok
Friska Yunita,1,2023-08-25 17:16:33,"Gak bisa masuk ke aplikasi nya, payah"
Dian Susanti,5,2023-08-25 16:56:56,"Sebelumnya vaksin ke 4 saya belum juga muncul, namun setelah saya email ke pihak terkait Alhamdulillah langsung ada dalan waktu sehari, pelayanan yang sangat cepat sekali. Terimakasih"
Apadi Amir,5,2023-08-25 16:13:20,Sangat membantu
Rachmat Vidiansyah,1,2023-08-25 15:46:23,"Mohon bantuan dan infonya , kenapa Aplikasi SatuSehat setelah saya install dan buka sistem tidak jalan ya , apa sebabnya ?? Apa ada aturan harus HP mahal ???"
Sofi Ya,1,2023-08-25 13:38:45,"Buruk, sertivikat vaksin booster saya dan swami tidak muncul . Sudah minta tolong lwar wa waktunya pendek bgt . Di email bolak balik gak jelas . Sebenarnya penting g si. Trus npa data gak muncul?"
NGK 12,5,2023-08-25 12:36:45,Sangat membantu
Rizal Jolobos,1,2023-08-25 12:17:25,"Apkikasi ruwet, sertifikat vaksin tidak muncul"
muhamadrizki maulana,1,2023-08-25 11:24:30,"Waktu itu vaksin ke 3 ga bisa gara"" di puskesmas nya salah masukin 1 nomer nik KTP saya dan katanya harus hubungi peduli lindungi,bukan di kasih tau mudah malah di bikin pusing"
Wewe Kolong,1,2023-08-25 09:04:44,downgrade ini mah namanya
Alim Bahtiar,1,2023-08-25 08:43:01,GK bisa login
Riko Putra,1,2023-08-25 07:42:07,"Enakan yg dlu gampang gak ribet, dan setelah update ini makin gajelassss"
Mul FAHRi,5,2023-08-25 07:26:55,Ok
Umar Rijal,1,2023-08-25 07:06:15,Di buat ribet padahal enakan yg dari awalkan tampilannya harusnya setiap update semakin di permudah ini mh malah kayak gini
Yusaq Kristian,1,2023-08-25 06:46:21,Lemot waktu buka aplikasi & scan barcode
mario dark,1,2023-08-25 05:26:19,Ribet
M. Andreansyah,1,2023-08-25 01:46:44,"Tambah tlol apk nya hbis pmbaruan, mnding jaman peduli lindungi"
darman bolang,5,2023-08-24 22:49:59,Good apk
Anisa Febriani,1,2023-08-24 20:33:01,Aplikasi lemotttttttttttttttt
Sadega Jiwara,1,2023-08-24 20:25:41,Ancur
Aminuddin Tsalik,1,2023-08-24 20:17:57,"Aplikasi sampah, masak gw nunggu otp ga di kirim udah ngadu ke wa yg tertera malah ctg 1 ampass"
Rina Ct,1,2023-08-24 20:10:51,Susah gagal terus
Nanda Hayati Putri,1,2023-08-24 19:06:35,"ga bisa di download sertifikat vaksin nya, payah ah"
Zuhriansyah Rahmatullah,1,2023-08-24 18:53:10,"Login persulit harus pake nomor yang ada wa nya, pas cht adminnya sok sibuk udah nunggu lama2 karena lagi penting2 banget...."
Messy Dayani,2,2023-08-24 16:57:11,Kok aku mau masuk akun ku ga bisa ya kenapa ya malah ribet padahal lagi perlu
Matahari Marta,1,2023-08-24 16:39:51,"Sertifikat vaksin nya nggak ada Yg ada cuma kartu vaksin Padahal tulisannya unduh sertifikat, ternyata unduh kartu vaksin."
bli animakeboard,1,2023-08-24 15:57:08,Aplikasi ini sangat susah untuk masuk kode otp nya. Saya kesulitan mohon di permudah. Nunggu otp lama banget
Ara 014,1,2023-08-24 15:23:06,"Balikin peduli lindungi aja, bukannya tmbh mudah ini malah tmbh ribet!"
satriyo iyo,5,2023-08-24 14:32:52,Bagus sekali dan mempermudah
Fery liung,5,2023-08-24 14:01:38,Siang bosku data saya udh hilang di hp lama hilang semuanya Pake hp baru gimana caranya pake satusehat lagi ya
Lisna Mahera,1,2023-08-24 13:49:10,Pedulilindungi sekarang ganti Satusehat malah gak bisa login. Pas nunggu otp ga dikirim ga ada juga. Tlp ke hotlinenya juga gak bisa bantu sama sekali. Iki pie?
Muhammad Naufal,1,2023-08-24 13:17:17,kode OTP tidak masuk masuk padahal nomornya gak ada yang salah
Mas Hasby,1,2023-08-24 13:13:58,"iya benar,mau log in gk bisa, bagus peduli lindungi"
MUHAMAD YUNUS,5,2023-08-24 12:47:34,"Baik,tingkatkan lagi mutu layanan"
Rusim Picture,1,2023-08-24 12:45:25,"Tidak diberi kode verifikasi, macam mana nak masok."
Ardiansya D_N,1,2023-08-24 12:30:57,"Tolong kode otp saya tidak masuk masuk, tolong segera di proses"
Jhoni Hartono Santoso,5,2023-08-24 12:20:39,Awesome
Mei Munah,1,2023-08-24 12:02:42,aplikasi gaguna gabisa buat cek sertifikat vaksin!!!!
nur wahyuningsih,1,2023-08-24 11:55:39,Ga bisa registrasi ulang. Ini bagaimana ya jadinya ?
Rommy Abdulrahman,5,2023-08-24 11:54:22,Sangat bagus
Novandra Akbar,2,2023-08-24 11:29:06,"Aplikasi ga guna, pelayanan kaya taiiiiiii!!!!!!"
Yogi Permadi,1,2023-08-24 11:23:19,aplikasi ribet
kusno wijaya,1,2023-08-24 10:51:02,Apk pemerintah kok begini amat..........masa sudah vaksin sampe booster tp sertifikat ngk muncul.......
Aldy Saputra,1,2023-08-24 10:37:42,Susah login
zuliana mukmin sari,1,2023-08-24 09:33:47,Harusnya klo verifikasi via sms juga..tidak semua verivikasi melalui wa
Solihudin Ahmad Zaenal,1,2023-08-24 09:30:19,Bagusan pedulilindungi
anif Pati,1,2023-08-24 09:15:35,Aplikasi tolol
Yuni Setiasih,1,2023-08-24 09:14:23,Apaan ni aplikasi keluar mulu login Lagi Susah..
Riska Lestari,1,2023-08-24 09:09:34,"Saya sudah vaksin, tapi kenapa di aplikasi ini sertifikat vaksin saya tidak ada, padahal dulu pas masih aplikasi peduli lindungi sertifikat vaksin saya sudah lengkap"
omen,1,2023-08-24 08:13:56,Masukan nomor telpon gak bisa
Ajib Artchie,1,2023-08-24 08:06:10,Aplikasi ruwet
Dede Bagus Setiawan,1,2023-08-24 08:03:44,"Gak jelas, gak bisa login via nomor telfon. kode otp via whatsapp gak muncul². Apk gak responsif saya gagal lamar kerja, karna gak bisa download sertif vaksin. Sangat Kecewa"
inas azhar,1,2023-08-24 07:54:42,enggak bisa login udah 5 kali ini
Bela Nabila,1,2023-08-24 07:25:00,Udh vaksin 3 tapi sertifikat gaada
Noor Aina Aulia,1,2023-08-24 05:57:07,G bisa download
Eko Nizam,5,2023-08-24 05:45:25,Ok udh bagus
rafika nurjanah,1,2023-08-24 05:18:29,Kode verifikasi saya tidak muncul
Supriadi,1,2023-08-24 04:51:50,"Mampvs,,rating bintang 1 loh"
Maju Mapan,1,2023-08-24 03:21:52,"Parah ini Aplikasi, baru masuk saha Minta OTP, Pas OTP Masuk ke WA fan diisi OTP nya malah tidak sesuai, Semoga saja Prog Kemasyarakatan seperti ini tidak dikorupsi 😂😂😂🤣"
Ryan,5,2023-08-24 03:15:16,"buat kalian yg sertifikatnya belum muncul coba langsung hubungi lewat email, minta sama adminya dijamin bisa"
Daidy Lie,5,2023-08-24 01:49:29,PeduliĹindungi....
Hairul Huda,1,2023-08-23 23:48:20,apk terburuk yg pernah ada
Cah Kulon,1,2023-08-23 22:14:05,"Sering ada kendala, masa udah vaksin boster 3 bulan yang lalu tapi sertifikatnya belum keluar di aplikasi hingga sekarang... Aduh gimana sih min.."
Zulharman Maulana,1,2023-08-23 21:54:11,"Ini gmna gada untuk verifikasi nyaa, ini saya untuk ngelamar kerjaa, aduhhh kok gini sih"
Uta Allay,1,2023-08-23 20:49:21,Mantap
Moch Akmal Fuadi (Akmal),1,2023-08-23 20:13:25,Aplikasi jadi berat dan susah connect sekarang
ARAFAH,1,2023-08-23 19:10:51,Kalau bukan buat urus berkas nggak mungkin ku donlwnload ini aplikasi... Bukannya membantuh malah meper sulit..👎👎👎👎
Yudii Fals,1,2023-08-23 19:03:06,"Setelah updaate jadi SATUSEHAT ko riwayat vaksin 1&2 saya gak ada, yang muncul cuman vaksin ke3.. jadi lier masuk aplikasinya euy..."
baktiar amran silalahi,5,2023-08-23 18:25:34,Mantap
cahaya yaya,1,2023-08-23 18:18:26,Kode verivikasi gak masuk² aneehhh. Ah udahlah
Sari Fauzia,1,2023-08-23 18:05:22,kenapa sih mesti diubah PEDULI LINDUNGI ke SATU SEHAT ..hilang semua sertifikat vaksin 1-3 Mana lagi butuh bgt buat ngelamar kerja Aplikasi taikkkk Banyak tingkah diubah
Hapet Pet,1,2023-08-23 17:51:42,"Info kode otp? Nomor wa masih aktif banget sekali, sudah kirim ulang otp via Whatsapp berkali-kali tidak ada informasi kode otp sama sekali. Tidak ramah bintang 1."
